state	year	pop
Alabama	1999	4369862
Alabama	2000	4451849
Alabama	2001	4464034
Alabama	2002	4472420
Alabama	2003	4490591
Alabama	2004	4512190
Alabama	2005	4545049
Alabama	2006	4597688
Alabama	2007	4637904
Alabama	2008	4677464
Alabama	2009	4708708
Alabama	2010	4785822
Alabama	2011	4801695
Alabama	2012	4817484
Alaska	1999	619500
Alaska	2000	627499
Alaska	2001	633316
Alaska	2002	642691
Alaska	2003	650884
Alaska	2004	661569
Alaska	2005	669488
Alaska	2006	677325
Alaska	2007	682297
Alaska	2008	688125
Alaska	2009	698473
Alaska	2010	713856
Alaska	2011	722572
Alaska	2012	731081
Arizona	1999	4778332
Arizona	2000	5166697
Arizona	2001	5304417
Arizona	2002	5452108
Arizona	2003	5591206
Arizona	2004	5759425
Arizona	2005	5974834
Arizona	2006	6192100
Arizona	2007	6362241
Arizona	2008	6499377
Arizona	2009	6595778
Arizona	2010	6411999
Arizona	2011	6472867
Arizona	2012	6556236
Arkansas	1999	2551373
Arkansas	2000	2678288
Arkansas	2001	2691068
Arkansas	2002	2704732
Arkansas	2003	2722291
Arkansas	2004	2746161
Arkansas	2005	2776221
Arkansas	2006	2815097
Arkansas	2007	2842194
Arkansas	2008	2867764
Arkansas	2009	2889450
Arkansas	2010	2922297
Arkansas	2011	2938430
Arkansas	2012	2949300
California	1999	33145121
California	2000	33994571
California	2001	34485623
California	2002	34876194
California	2003	35251107
California	2004	35558419
California	2005	35795255
California	2006	35979208
California	2007	36226122
California	2008	36580371
California	2009	36961664
California	2010	37336011
California	2011	37701901
California	2012	38062780
Colorado	1999	4056133
Colorado	2000	4328070
Colorado	2001	4433068
Colorado	2002	4504265
Colorado	2003	4548775
Colorado	2004	4599681
Colorado	2005	4660780
Colorado	2006	4753044
Colorado	2007	4842259
Colorado	2008	4935213
Colorado	2009	5024748
Colorado	2010	5048575
Colorado	2011	5119661
Colorado	2012	5191709
Connecticut	1999	3282031
Connecticut	2000	3411726
Connecticut	2001	3428433
Connecticut	2002	3448382
Connecticut	2003	3467673
Connecticut	2004	3474610
Connecticut	2005	3477416
Connecticut	2006	3485162
Connecticut	2007	3488633
Connecticut	2008	3502932
Connecticut	2009	3518288
Connecticut	2010	3579345
Connecticut	2011	3590537
Connecticut	2012	3594362
Delaware	1999	753538
Delaware	2000	786411
Delaware	2001	794620
Delaware	2002	804131
Delaware	2003	814905
Delaware	2004	826639
Delaware	2005	839906
Delaware	2006	853022
Delaware	2007	864896
Delaware	2008	876211
Delaware	2009	885122
Delaware	2010	899731
Delaware	2011	907829
Delaware	2012	916881
District of Columbia	1999	519000
District of Columbia	2000	571744
District of Columbia	2001	578042
District of Columbia	2002	579585
District of Columbia	2003	577777
District of Columbia	2004	579796
District of Columbia	2005	582049
District of Columbia	2006	583978
District of Columbia	2007	586409
District of Columbia	2008	590074
District of Columbia	2009	599657
District of Columbia	2010	605210
District of Columbia	2011	620427
District of Columbia	2012	635040
Florida	1999	15111244
Florida	2000	16047118
Florida	2001	16353869
Florida	2002	16680309
Florida	2003	16981183
Florida	2004	17375259
Florida	2005	17783868
Florida	2006	18088505
Florida	2007	18277888
Florida	2008	18423878
Florida	2009	18537969
Florida	2010	18852220
Florida	2011	19107900
Florida	2012	19355257
Georgia	1999	7788240
Georgia	2000	8230161
Georgia	2001	8419594
Georgia	2002	8585535
Georgia	2003	8735259
Georgia	2004	8913676
Georgia	2005	9097428
Georgia	2006	9330086
Georgia	2007	9533761
Georgia	2008	9697838
Georgia	2009	9829211
Georgia	2010	9714464
Georgia	2011	9813201
Georgia	2012	9919000
Hawaii	1999	1185497
Hawaii	2000	1211566
Hawaii	2001	1218305
Hawaii	2002	1228069
Hawaii	2003	1239298
Hawaii	2004	1252782
Hawaii	2005	1266117
Hawaii	2006	1275599
Hawaii	2007	1276832
Hawaii	2008	1287481
Hawaii	2009	1295178
Hawaii	2010	1363950
Hawaii	2011	1378251
Hawaii	2012	1392766
Idaho	1999	1251700
Idaho	2000	1299551
Idaho	2001	1321170
Idaho	2002	1342149
Idaho	2003	1364109
Idaho	2004	1391718
Idaho	2005	1425862
Idaho	2006	1464413
Idaho	2007	1499245
Idaho	2008	1527506
Idaho	2009	1545801
Idaho	2010	1570639
Idaho	2011	1583780
Idaho	2012	1595590
Illinois	1999	12128370
Illinois	2000	12437645
Illinois	2001	12507833
Illinois	2002	12558229
Illinois	2003	12597981
Illinois	2004	12645295
Illinois	2005	12674452
Illinois	2006	12718011
Illinois	2007	12779417
Illinois	2008	12842954
Illinois	2009	12910409
Illinois	2010	12840097
Illinois	2011	12858725
Illinois	2012	12873763
Indiana	1999	5942901
Indiana	2000	6091649
Indiana	2001	6124967
Indiana	2002	6149007
Indiana	2003	6181789
Indiana	2004	6214454
Indiana	2005	6253120
Indiana	2006	6301700
Indiana	2007	6346113
Indiana	2008	6388309
Indiana	2009	6423113
Indiana	2010	6490308
Indiana	2011	6516560
Indiana	2012	6537632
Iowa	1999	2869413
Iowa	2000	2928184
Iowa	2001	2929424
Iowa	2002	2929264
Iowa	2003	2932799
Iowa	2004	2941358
Iowa	2005	2949450
Iowa	2006	2964391
Iowa	2007	2978719
Iowa	2008	2993987
Iowa	2009	3007856
Iowa	2010	3050295
Iowa	2011	3064904
Iowa	2012	3075935
Kansas	1999	2654052
Kansas	2000	2692810
Kansas	2001	2701456
Kansas	2002	2712598
Kansas	2003	2721955
Kansas	2004	2730765
Kansas	2005	2741771
Kansas	2006	2755700
Kansas	2007	2775586
Kansas	2008	2797375
Kansas	2009	2818747
Kansas	2010	2858949
Kansas	2011	2869965
Kansas	2012	2885966
Kentucky	1999	3960825
Kentucky	2000	4048903
Kentucky	2001	4069191
Kentucky	2002	4091330
Kentucky	2003	4118627
Kentucky	2004	4147970
Kentucky	2005	4182293
Kentucky	2006	4219374
Kentucky	2007	4256278
Kentucky	2008	4287931
Kentucky	2009	4314113
Kentucky	2010	4349838
Kentucky	2011	4370038
Kentucky	2012	4383465
Louisiana	1999	4372035
Louisiana	2000	4468979
Louisiana	2001	4460816
Louisiana	2002	4466068
Louisiana	2003	4474726
Louisiana	2004	4489327
Louisiana	2005	4497691
Louisiana	2006	4240327
Louisiana	2007	4376122
Louisiana	2008	4451513
Louisiana	2009	4492076
Louisiana	2010	4545581
Louisiana	2011	4575972
Louisiana	2012	4604744
Maine	1999	1253040
Maine	2000	1277211
Maine	2001	1284791
Maine	2002	1293938
Maine	2003	1303102
Maine	2004	1308253
Maine	2005	1311631
Maine	2006	1314963
Maine	2007	1317308
Maine	2008	1319691
Maine	2009	1318301
Maine	2010	1327361
Maine	2011	1327930
Maine	2012	1328592
Maryland	1999	5171634
Maryland	2000	5310579
Maryland	2001	5375033
Maryland	2002	5439913
Maryland	2003	5496708
Maryland	2004	5542659
Maryland	2005	5582520
Maryland	2006	5612196
Maryland	2007	5634242
Maryland	2008	5658655
Maryland	2009	5699478
Maryland	2010	5788101
Maryland	2011	5843833
Maryland	2012	5891819
Massachusetts	1999	6175169
Massachusetts	2000	6363015
Massachusetts	2001	6411730
Massachusetts	2002	6440978
Massachusetts	2003	6451637
Massachusetts	2004	6451279
Massachusetts	2005	6453031
Massachusetts	2006	6466399
Massachusetts	2007	6499275
Massachusetts	2008	6543595
Massachusetts	2009	6593587
Massachusetts	2010	6564073
Massachusetts	2011	6612270
Massachusetts	2012	6655829
Michigan	1999	9863775
Michigan	2000	9955308
Michigan	2001	10006093
Michigan	2002	10038767
Michigan	2003	10066351
Michigan	2004	10089305
Michigan	2005	10090554
Michigan	2006	10082438
Michigan	2007	10050847
Michigan	2008	10002486
Michigan	2009	9969727
Michigan	2010	9876498
Michigan	2011	9875736
Michigan	2012	9884781
Minnesota	1999	4775508
Minnesota	2000	4933958
Minnesota	2001	4982813
Minnesota	2002	5017458
Minnesota	2003	5047862
Minnesota	2004	5079344
Minnesota	2005	5106560
Minnesota	2006	5148346
Minnesota	2007	5191206
Minnesota	2008	5230567
Minnesota	2009	5266214
Minnesota	2010	5310418
Minnesota	2011	5348036
Minnesota	2012	5380615
Mississippi	1999	2768619
Mississippi	2000	2848310
Mississippi	2001	2853313
Mississippi	2002	2858643
Mississippi	2003	2867678
Mississippi	2004	2886006
Mississippi	2005	2900116
Mississippi	2006	2897150
Mississippi	2007	2921723
Mississippi	2008	2940212
Mississippi	2009	2951996
Mississippi	2010	2970811
Mississippi	2011	2978464
Mississippi	2012	2986137
Missouri	1999	5468338
Missouri	2000	5606065
Missouri	2001	5643986
Missouri	2002	5680852
Missouri	2003	5714847
Missouri	2004	5758444
Missouri	2005	5806639
Missouri	2006	5861572
Missouri	2007	5909824
Missouri	2008	5956335
Missouri	2009	5987580
Missouri	2010	5996085
Missouri	2011	6010544
Missouri	2012	6025281
Montana	1999	882779
Montana	2000	903293
Montana	2001	905873
Montana	2002	909868
Montana	2003	916750
Montana	2004	925887
Montana	2005	934801
Montana	2006	946230
Montana	2007	957225
Montana	2008	968035
Montana	2009	974989
Montana	2010	990575
Montana	2011	997661
Montana	2012	1005163
Nebraska	1999	1666028
Nebraska	2000	1713345
Nebraska	2001	1717948
Nebraska	2002	1725083
Nebraska	2003	1733680
Nebraska	2004	1742184
Nebraska	2005	1751721
Nebraska	2006	1760435
Nebraska	2007	1769912
Nebraska	2008	1781949
Nebraska	2009	1796619
Nebraska	2010	1829865
Nebraska	2011	1842232
Nebraska	2012	1855487
Nevada	1999	1809253
Nevada	2000	2018211
Nevada	2001	2094509
Nevada	2002	2166214
Nevada	2003	2236949
Nevada	2004	2328703
Nevada	2005	2408804
Nevada	2006	2493405
Nevada	2007	2567752
Nevada	2008	2615772
Nevada	2009	2643085
Nevada	2010	2703493
Nevada	2011	2718586
Nevada	2012	2755245
New Hampshire	1999	1201134
New Hampshire	2000	1240446
New Hampshire	2001	1256879
New Hampshire	2002	1271163
New Hampshire	2003	1281871
New Hampshire	2004	1292766
New Hampshire	2005	1301415
New Hampshire	2006	1311894
New Hampshire	2007	1317343
New Hampshire	2008	1321872
New Hampshire	2009	1324575
New Hampshire	2010	1316517
New Hampshire	2011	1318109
New Hampshire	2012	1321297
New Jersey	1999	8143412
New Jersey	2000	8430921
New Jersey	2001	8489469
New Jersey	2002	8544115
New Jersey	2003	8583481
New Jersey	2004	8611530
New Jersey	2005	8621837
New Jersey	2006	8623721
New Jersey	2007	8636043
New Jersey	2008	8663398
New Jersey	2009	8707739
New Jersey	2010	8803580
New Jersey	2011	8842614
New Jersey	2012	8876000
New Mexico	1999	1739844
New Mexico	2000	1820813
New Mexico	2001	1828809
New Mexico	2002	1850035
New Mexico	2003	1869683
New Mexico	2004	1891829
New Mexico	2005	1916538
New Mexico	2006	1942608
New Mexico	2007	1968731
New Mexico	2008	1986763
New Mexico	2009	2009671
New Mexico	2010	2064950
New Mexico	2011	2078407
New Mexico	2012	2084594
New York	1999	18196601
New York	2000	18998044
New York	2001	19088978
New York	2002	19161873
New York	2003	19231101
New York	2004	19297933
New York	2005	19330891
New York	2006	19356564
New York	2007	19422777
New York	2008	19467789
New York	2009	19541453
New York	2010	19400867
New York	2011	19521745
New York	2012	19607140
North Carolina	1999	7650789
North Carolina	2000	8079383
North Carolina	2001	8203451
North Carolina	2002	8316617
North Carolina	2003	8416451
North Carolina	2004	8531283
North Carolina	2005	8669452
North Carolina	2006	8866977
North Carolina	2007	9064074
North Carolina	2008	9247134
North Carolina	2009	9380884
North Carolina	2010	9559488
North Carolina	2011	9651502
North Carolina	2012	9748181
North Dakota	1999	633666
North Dakota	2000	641200
North Dakota	2001	636267
North Dakota	2002	633617
North Dakota	2003	632809
North Dakota	2004	636303
North Dakota	2005	635365
North Dakota	2006	636771
North Dakota	2007	638202
North Dakota	2008	641421
North Dakota	2009	646844
North Dakota	2010	674345
North Dakota	2011	685242
North Dakota	2012	701705
Ohio	1999	11256654
Ohio	2000	11363844
Ohio	2001	11396874
Ohio	2002	11420981
Ohio	2003	11445180
Ohio	2004	11464593
Ohio	2005	11475262
Ohio	2006	11492495
Ohio	2007	11520815
Ohio	2008	11528072
Ohio	2009	11542645
Ohio	2010	11540070
Ohio	2011	11544757
Ohio	2012	11550901
Oklahoma	1999	3358044
Oklahoma	2000	3453943
Oklahoma	2001	3464729
Oklahoma	2002	3484754
Oklahoma	2003	3498687
Oklahoma	2004	3514449
Oklahoma	2005	3532769
Oklahoma	2006	3574334
Oklahoma	2007	3612186
Oklahoma	2008	3644025
Oklahoma	2009	3687050
Oklahoma	2010	3759481
Oklahoma	2011	3786527
Oklahoma	2012	3817059
Oregon	1999	3316154
Oregon	2000	3430891
Oregon	2001	3470382
Oregon	2002	3517111
Oregon	2003	3550180
Oregon	2004	3573505
Oregon	2005	3617869
Oregon	2006	3677545
Oregon	2007	3732957
Oregon	2008	3782991
Oregon	2009	3825657
Oregon	2010	3837083
Oregon	2011	3867644
Oregon	2012	3898684
Pennsylvania	1999	11994016
Pennsylvania	2000	12285504
Pennsylvania	2001	12299533
Pennsylvania	2002	12326302
Pennsylvania	2003	12357524
Pennsylvania	2004	12388368
Pennsylvania	2005	12418161
Pennsylvania	2006	12471142
Pennsylvania	2007	12522531
Pennsylvania	2008	12566368
Pennsylvania	2009	12604767
Pennsylvania	2010	12711077
Pennsylvania	2011	12743995
Pennsylvania	2012	12770043
Rhode Island	1999	990819
Rhode Island	2000	1050736
Rhode Island	2001	1058051
Rhode Island	2002	1066034
Rhode Island	2003	1071504
Rhode Island	2004	1071414
Rhode Island	2005	1064989
Rhode Island	2006	1060196
Rhode Island	2007	1055009
Rhode Island	2008	1053502
Rhode Island	2009	1053209
Rhode Island	2010	1053078
Rhode Island	2011	1052020
Rhode Island	2012	1052637
South Carolina	1999	3885736
South Carolina	2000	4023570
South Carolina	2001	4062701
South Carolina	2002	4103934
South Carolina	2003	4146474
South Carolina	2004	4201306
South Carolina	2005	4256199
South Carolina	2006	4339399
South Carolina	2007	4424232
South Carolina	2008	4503280
South Carolina	2009	4561242
South Carolina	2010	4636290
South Carolina	2011	4673054
South Carolina	2012	4722621
South Dakota	1999	733133
South Dakota	2000	755694
South Dakota	2001	758983
South Dakota	2002	762107
South Dakota	2003	766975
South Dakota	2004	774283
South Dakota	2005	780084
South Dakota	2006	788519
South Dakota	2007	797035
South Dakota	2008	804532
South Dakota	2009	812383
South Dakota	2010	816192
South Dakota	2011	824171
South Dakota	2012	834504
Tennessee	1999	5483535
Tennessee	2000	5703243
Tennessee	2001	5755443
Tennessee	2002	5803306
Tennessee	2003	5856522
Tennessee	2004	5916762
Tennessee	2005	5995748
Tennessee	2006	6089453
Tennessee	2007	6172862
Tennessee	2008	6240456
Tennessee	2009	6296254
Tennessee	2010	6356628
Tennessee	2011	6398389
Tennessee	2012	6455177
Texas	1999	20044141
Texas	2000	20945963
Texas	2001	21332847
Texas	2002	21710788
Texas	2003	22057801
Texas	2004	22418319
Texas	2005	22801920
Texas	2006	23369024
Texas	2007	23837701
Texas	2008	24304290
Texas	2009	24782302
Texas	2010	25245717
Texas	2011	25657477
Texas	2012	26094422
Utah	1999	2129836
Utah	2000	2244314
Utah	2001	2291250
Utah	2002	2334473
Utah	2003	2379938
Utah	2004	2438915
Utah	2005	2499637
Utah	2006	2583724
Utah	2007	2663796
Utah	2008	2727343
Utah	2009	2784572
Utah	2010	2774346
Utah	2011	2815324
Utah	2012	2855194
Vermont	1999	593740
Vermont	2000	609903
Vermont	2001	612153
Vermont	2002	614950
Vermont	2003	616559
Vermont	2004	618145
Vermont	2005	618814
Vermont	2006	619985
Vermont	2007	620460
Vermont	2008	621049
Vermont	2009	621760
Vermont	2010	625792
Vermont	2011	626450
Vermont	2012	626138
Virginia	1999	6872912
Virginia	2000	7104533
Virginia	2001	7191304
Virginia	2002	7283541
Virginia	2003	7373694
Virginia	2004	7468914
Virginia	2005	7563887
Virginia	2006	7646996
Virginia	2007	7719749
Virginia	2008	7795424
Virginia	2009	7882590
Virginia	2010	8025376
Virginia	2011	8110188
Virginia	2012	8193422
Washington	1999	5756361
Washington	2000	5911122
Washington	2001	5987785
Washington	2002	6056187
Washington	2003	6113262
Washington	2004	6184289
Washington	2005	6261282
Washington	2006	6372243
Washington	2007	6464979
Washington	2008	6566073
Washington	2009	6664195
Washington	2010	6741911
Washington	2011	6822112
Washington	2012	6896325
West Virginia	1999	1806928
West Virginia	2000	1806962
West Virginia	2001	1798582
West Virginia	2002	1799411
West Virginia	2003	1802238
West Virginia	2004	1803302
West Virginia	2005	1803920
West Virginia	2006	1807237
West Virginia	2007	1811198
West Virginia	2008	1814873
West Virginia	2009	1819777
West Virginia	2010	1854176
West Virginia	2011	1854982
West Virginia	2012	1856313
Wisconsin	1999	5250446
Wisconsin	2000	5374254
Wisconsin	2001	5408769
Wisconsin	2002	5446766
Wisconsin	2003	5476796
Wisconsin	2004	5511385
Wisconsin	2005	5541443
Wisconsin	2006	5571680
Wisconsin	2007	5601571
Wisconsin	2008	5627610
Wisconsin	2009	5654774
Wisconsin	2010	5689268
Wisconsin	2011	5708785
Wisconsin	2012	5724888
Wyoming	1999	479602
Wyoming	2000	493958
Wyoming	2001	492982
Wyoming	2002	497069
Wyoming	2003	499189
Wyoming	2004	502988
Wyoming	2005	506242
Wyoming	2006	512841
Wyoming	2007	523414
Wyoming	2008	532981
Wyoming	2009	544270
Wyoming	2010	564358
Wyoming	2011	567631
Wyoming	2012	576893
