country1	country2	f_commuting
Austria	Belgium	0
Austria	Bulgaria	0
Austria	Croatia	1.635144710306862e-4
Austria	Czechia	3.1732599957689866e-4
Austria	Denmark	0
Austria	Estonia	0
Austria	Finland	0
Austria	France	0
Austria	Germany	4.147472263779236e-4
Austria	Hungary	0.0019462677453823843
Austria	Ireland	0
Austria	Italy	2.283626398721169e-5
Austria	Latvia	0
Austria	Lithuania	0
Austria	Luxembourg	0
Austria	Malta	0
Austria	Netherlands	0
Austria	Norway	0
Austria	Poland	1.4060083423161643e-4
Austria	Portugal	0
Austria	Romania	0
Austria	Slovakia	0.0023893720730192108
Austria	Slovenia	6.984126984126984e-4
Austria	Spain	0
Austria	Sweden	0
Austria	Switzerland	4.1763164888568283e-4
Austria	United Kingdom	0
Belgium	Bulgaria	0
Belgium	Croatia	0
Belgium	Czechia	0
Belgium	Denmark	0
Belgium	Estonia	0
Belgium	Finland	0
Belgium	France	5.227391531625719e-4
Belgium	Germany	6.571645540043227e-5
Belgium	Hungary	0
Belgium	Ireland	0
Belgium	Italy	0
Belgium	Latvia	0
Belgium	Lithuania	0
Belgium	Luxembourg	0.0027039206849932404
Belgium	Malta	0
Belgium	Netherlands	0.0011421760937577593
Belgium	Norway	0
Belgium	Poland	0
Belgium	Portugal	0
Belgium	Romania	0
Belgium	Slovakia	1.312565628281414e-4
Belgium	Slovenia	0
Belgium	Spain	0
Belgium	Sweden	0
Belgium	Switzerland	0
Belgium	United Kingdom	0
Bulgaria	Czechia	0
Bulgaria	Denmark	0
Bulgaria	Finland	0
Bulgaria	France	0
Bulgaria	Germany	9.08781097353175e-5
Bulgaria	Hungary	0
Bulgaria	Ireland	0
Bulgaria	Italy	0
Bulgaria	Luxembourg	0
Bulgaria	Netherlands	0
Bulgaria	Norway	0
Bulgaria	Portugal	0
Bulgaria	Slovakia	0
Bulgaria	Spain	0
Bulgaria	Sweden	0
Bulgaria	Switzerland	0
Bulgaria	United Kingdom	3.857764232738916e-5
Croatia	Czechia	0
Croatia	Denmark	0
Croatia	Finland	0
Croatia	France	1.1072112669818528e-5
Croatia	Germany	9.390185690922037e-5
Croatia	Hungary	0
Croatia	Ireland	0
Croatia	Italy	3.733618747744272e-5
Croatia	Luxembourg	0
Croatia	Netherlands	3.213883978788366e-5
Croatia	Norway	0
Croatia	Portugal	0
Croatia	Slovakia	0
Croatia	Spain	0
Croatia	Sweden	0
Croatia	Switzerland	0
Croatia	United Kingdom	0
Czechia	Denmark	0
Czechia	Estonia	0
Czechia	Finland	0
Czechia	France	3.488418450743531e-4
Czechia	Germany	2.2495065598513873e-4
Czechia	Hungary	0
Czechia	Ireland	0
Czechia	Italy	0
Czechia	Latvia	0
Czechia	Lithuania	0
Czechia	Luxembourg	0
Czechia	Malta	0
Czechia	Netherlands	2.4313153415998054e-5
Czechia	Norway	0
Czechia	Poland	1.3473658996661527e-4
Czechia	Portugal	0
Czechia	Romania	0
Czechia	Slovakia	0.001771255060728745
Czechia	Slovenia	0
Czechia	Spain	0
Czechia	Sweden	0
Czechia	Switzerland	3.433476394849785e-5
Czechia	United Kingdom	2.7409776153494748e-5
Denmark	Estonia	0
Denmark	Finland	0
Denmark	France	7.514196464033836e-5
Denmark	Germany	6.889530210589973e-5
Denmark	Hungary	0
Denmark	Ireland	0
Denmark	Italy	0
Denmark	Latvia	0
Denmark	Lithuania	0
Denmark	Luxembourg	0
Denmark	Malta	0
Denmark	Netherlands	0
Denmark	Norway	0
Denmark	Poland	0
Denmark	Portugal	0
Denmark	Romania	0
Denmark	Slovakia	0
Denmark	Slovenia	0
Denmark	Spain	0
Denmark	Sweden	6.851954948396214e-4
Denmark	Switzerland	0
Denmark	United Kingdom	0
Estonia	Finland	0.001440329218106996
Estonia	France	0
Estonia	Germany	0
Estonia	Hungary	0
Estonia	Ireland	0
Estonia	Italy	0
Estonia	Luxembourg	0
Estonia	Netherlands	0
Estonia	Norway	2.037282265457879e-4
Estonia	Portugal	0
Estonia	Slovakia	0
Estonia	Spain	0
Estonia	Sweden	0
Estonia	Switzerland	0
Estonia	United Kingdom	0
Finland	France	0
Finland	Germany	0
Finland	Hungary	0
Finland	Ireland	0
Finland	Italy	0
Finland	Latvia	0
Finland	Lithuania	0
Finland	Luxembourg	0
Finland	Malta	0
Finland	Netherlands	0
Finland	Poland	0
Finland	Portugal	0
Finland	Romania	0
Finland	Slovakia	0
Finland	Slovenia	0
Finland	Spain	0
Finland	Sweden	0
Finland	Switzerland	0
Finland	United Kingdom	0
France	Germany	3.38177320862642e-5
France	Hungary	0
France	Ireland	0
France	Italy	4.3873393920401125e-5
France	Latvia	0
France	Lithuania	0
France	Luxembourg	0.0010400476785902095
France	Malta	0
France	Netherlands	0
France	Norway	0
France	Poland	0
France	Portugal	5.0227026158235224e-5
France	Romania	0
France	Slovakia	4.305890458146745e-5
France	Slovenia	0
France	Spain	3.926624477268116e-5
France	Sweden	0
France	Switzerland	0.002217497889308202
France	United Kingdom	3.918626913129639e-5
Germany	Hungary	2.506450423884998e-4
Germany	Ireland	0
Germany	Italy	3.552830590886482e-5
Germany	Latvia	0
Germany	Lithuania	0
Germany	Luxembourg	3.819616575510569e-4
Germany	Malta	0
Germany	Netherlands	3.992151025103187e-4
Germany	Norway	0
Germany	Poland	5.822768755368766e-4
Germany	Portugal	0
Germany	Romania	2.219711033981758e-4
Germany	Slovakia	2.1477004264719419e-4
Germany	Slovenia	7.987475638199303e-6
Germany	Spain	1.5766322084938433e-5
Germany	Sweden	0
Germany	Switzerland	6.333541996538645e-4
Germany	United Kingdom	2.7763638887603535e-5
Hungary	Ireland	0
Hungary	Italy	0
Hungary	Latvia	0
Hungary	Lithuania	0
Hungary	Luxembourg	0
Hungary	Malta	0
Hungary	Netherlands	0
Hungary	Norway	0
Hungary	Poland	0
Hungary	Portugal	0
Hungary	Romania	0
Hungary	Slovakia	4.175559060963162e-4
Hungary	Slovenia	0
Hungary	Spain	0
Hungary	Sweden	0
Hungary	Switzerland	1.1124707976415619e-4
Hungary	United Kingdom	1.0252395332364016e-4
Ireland	Italy	0
Ireland	Latvia	0
Ireland	Lithuania	0
Ireland	Luxembourg	0
Ireland	Malta	0
Ireland	Netherlands	0
Ireland	Norway	0
Ireland	Poland	0
Ireland	Portugal	0
Ireland	Romania	0
Ireland	Slovakia	0
Ireland	Slovenia	0
Ireland	Spain	2.6796361054168844e-5
Ireland	Sweden	0
Ireland	Switzerland	0
Ireland	United Kingdom	1.7916152406736473e-4
Italy	Latvia	0
Italy	Lithuania	0
Italy	Luxembourg	0
Italy	Malta	0
Italy	Netherlands	0
Italy	Norway	0
Italy	Poland	0
Italy	Portugal	0
Italy	Romania	5.532175528026397e-4
Italy	Slovakia	4.823344989750392e-5
Italy	Slovenia	2.5722149342799085e-5
Italy	Spain	3.500493569593313e-5
Italy	Sweden	0
Italy	Switzerland	7.584075704922858e-4
Italy	United Kingdom	3.557284132141248e-5
Latvia	Luxembourg	0
Latvia	Netherlands	0
Latvia	Norway	1.8606381989022235e-4
Latvia	Portugal	0
Latvia	Slovakia	0
Latvia	Spain	0
Latvia	Sweden	1.1210762331838565e-4
Latvia	Switzerland	0
Latvia	United Kingdom	4.133768756975735e-5
Lithuania	Luxembourg	0
Lithuania	Netherlands	0
Lithuania	Norway	0
Lithuania	Portugal	0
Lithuania	Slovakia	0
Lithuania	Spain	0
Lithuania	Sweden	0
Lithuania	Switzerland	0
Lithuania	United Kingdom	0
Luxembourg	Malta	0
Luxembourg	Netherlands	0
Luxembourg	Norway	0
Luxembourg	Poland	0
Luxembourg	Portugal	0
Luxembourg	Romania	0
Luxembourg	Slovakia	0
Luxembourg	Slovenia	0
Luxembourg	Spain	0
Luxembourg	Sweden	0
Luxembourg	Switzerland	0
Luxembourg	United Kingdom	0
Malta	Netherlands	0
Malta	Norway	0
Malta	Portugal	0
Malta	Slovakia	0
Malta	Spain	0
Malta	Sweden	0
Malta	Switzerland	0
Malta	United Kingdom	0
Netherlands	Norway	0
Netherlands	Poland	2.083903150601076e-4
Netherlands	Portugal	0
Netherlands	Romania	0
Netherlands	Slovakia	1.483943728853802e-4
Netherlands	Slovenia	0
Netherlands	Spain	2.1367293084475594e-5
Netherlands	Sweden	0
Netherlands	Switzerland	0
Netherlands	United Kingdom	1.6745930738830465e-5
Norway	Poland	1.8617561437952746e-4
Norway	Portugal	0
Norway	Romania	0
Norway	Slovakia	0
Norway	Slovenia	0
Norway	Spain	0
Norway	Sweden	6.13685179502915e-4
Norway	Switzerland	0
Norway	United Kingdom	0
Poland	Portugal	0
Poland	Slovakia	0
Poland	Spain	0
Poland	Sweden	0
Poland	Switzerland	0
Poland	United Kingdom	6.891846256693706e-5
Portugal	Romania	0
Portugal	Slovakia	0
Portugal	Slovenia	0
Portugal	Spain	1.3279410877044728e-4
Portugal	Sweden	0
Portugal	Switzerland	0
Portugal	United Kingdom	0
Romania	Slovakia	0
Romania	Spain	1.0584362662602271e-4
Romania	Sweden	0
Romania	Switzerland	0
Romania	United Kingdom	7.480674923115286e-5
Slovakia	Slovenia	0
Slovakia	Spain	0
Slovakia	Sweden	8.661758336942399e-5
Slovakia	Switzerland	2.3053160588316657e-4
Slovakia	United Kingdom	6.861803281902484e-5
Slovenia	Spain	0
Slovenia	Sweden	0
Slovenia	Switzerland	0
Slovenia	United Kingdom	0
Spain	Sweden	0
Spain	Switzerland	0
Spain	United Kingdom	0.00014204457729386551
Sweden	Switzerland	0
Sweden	United Kingdom	1.837762340574117e-5
Switzerland	United Kingdom	0
Belgium	Austria	0
Bulgaria	Austria	0
Croatia	Austria	1.635144710306862e-4
Czechia	Austria	3.1732599957689866e-4
Denmark	Austria	0
Estonia	Austria	0
Finland	Austria	0
France	Austria	0
Germany	Austria	4.147472263779236e-4
Hungary	Austria	0.0019462677453823843
Ireland	Austria	0
Italy	Austria	2.283626398721169e-5
Latvia	Austria	0
Lithuania	Austria	0
Luxembourg	Austria	0
Malta	Austria	0
Netherlands	Austria	0
Norway	Austria	0
Poland	Austria	1.4060083423161643e-4
Portugal	Austria	0
Romania	Austria	0
Slovakia	Austria	0.0023893720730192108
Slovenia	Austria	6.984126984126984e-4
Spain	Austria	0
Sweden	Austria	0
Switzerland	Austria	4.1763164888568283e-4
United Kingdom	Austria	0
Bulgaria	Belgium	0
Croatia	Belgium	0
Czechia	Belgium	0
Denmark	Belgium	0
Estonia	Belgium	0
Finland	Belgium	0
France	Belgium	5.227391531625719e-4
Germany	Belgium	6.571645540043227e-5
Hungary	Belgium	0
Ireland	Belgium	0
Italy	Belgium	0
Latvia	Belgium	0
Lithuania	Belgium	0
Luxembourg	Belgium	0.0027039206849932404
Malta	Belgium	0
Netherlands	Belgium	0.0011421760937577593
Norway	Belgium	0
Poland	Belgium	0
Portugal	Belgium	0
Romania	Belgium	0
Slovakia	Belgium	1.312565628281414e-4
Slovenia	Belgium	0
Spain	Belgium	0
Sweden	Belgium	0
Switzerland	Belgium	0
United Kingdom	Belgium	0
Czechia	Bulgaria	0
Denmark	Bulgaria	0
Finland	Bulgaria	0
France	Bulgaria	0
Germany	Bulgaria	9.08781097353175e-5
Hungary	Bulgaria	0
Ireland	Bulgaria	0
Italy	Bulgaria	0
Luxembourg	Bulgaria	0
Netherlands	Bulgaria	0
Norway	Bulgaria	0
Portugal	Bulgaria	0
Slovakia	Bulgaria	0
Spain	Bulgaria	0
Sweden	Bulgaria	0
Switzerland	Bulgaria	0
United Kingdom	Bulgaria	3.857764232738916e-5
Czechia	Croatia	0
Denmark	Croatia	0
Finland	Croatia	0
France	Croatia	1.1072112669818528e-5
Germany	Croatia	9.390185690922037e-5
Hungary	Croatia	0
Ireland	Croatia	0
Italy	Croatia	3.733618747744272e-5
Luxembourg	Croatia	0
Netherlands	Croatia	3.213883978788366e-5
Norway	Croatia	0
Portugal	Croatia	0
Slovakia	Croatia	0
Spain	Croatia	0
Sweden	Croatia	0
Switzerland	Croatia	0
United Kingdom	Croatia	0
Denmark	Czechia	0
Estonia	Czechia	0
Finland	Czechia	0
France	Czechia	3.488418450743531e-4
Germany	Czechia	2.2495065598513873e-4
Hungary	Czechia	0
Ireland	Czechia	0
Italy	Czechia	0
Latvia	Czechia	0
Lithuania	Czechia	0
Luxembourg	Czechia	0
Malta	Czechia	0
Netherlands	Czechia	2.4313153415998054e-5
Norway	Czechia	0
Poland	Czechia	1.3473658996661527e-4
Portugal	Czechia	0
Romania	Czechia	0
Slovakia	Czechia	0.001771255060728745
Slovenia	Czechia	0
Spain	Czechia	0
Sweden	Czechia	0
Switzerland	Czechia	3.433476394849785e-5
United Kingdom	Czechia	2.7409776153494748e-5
Estonia	Denmark	0
Finland	Denmark	0
France	Denmark	7.514196464033836e-5
Germany	Denmark	6.889530210589973e-5
Hungary	Denmark	0
Ireland	Denmark	0
Italy	Denmark	0
Latvia	Denmark	0
Lithuania	Denmark	0
Luxembourg	Denmark	0
Malta	Denmark	0
Netherlands	Denmark	0
Norway	Denmark	0
Poland	Denmark	0
Portugal	Denmark	0
Romania	Denmark	0
Slovakia	Denmark	0
Slovenia	Denmark	0
Spain	Denmark	0
Sweden	Denmark	6.851954948396214e-4
Switzerland	Denmark	0
United Kingdom	Denmark	0
Finland	Estonia	0.001440329218106996
France	Estonia	0
Germany	Estonia	0
Hungary	Estonia	0
Ireland	Estonia	0
Italy	Estonia	0
Luxembourg	Estonia	0
Netherlands	Estonia	0
Norway	Estonia	2.037282265457879e-4
Portugal	Estonia	0
Slovakia	Estonia	0
Spain	Estonia	0
Sweden	Estonia	0
Switzerland	Estonia	0
United Kingdom	Estonia	0
France	Finland	0
Germany	Finland	0
Hungary	Finland	0
Ireland	Finland	0
Italy	Finland	0
Latvia	Finland	0
Lithuania	Finland	0
Luxembourg	Finland	0
Malta	Finland	0
Netherlands	Finland	0
Poland	Finland	0
Portugal	Finland	0
Romania	Finland	0
Slovakia	Finland	0
Slovenia	Finland	0
Spain	Finland	0
Sweden	Finland	0
Switzerland	Finland	0
United Kingdom	Finland	0
Germany	France	3.38177320862642e-5
Hungary	France	0
Ireland	France	0
Italy	France	4.3873393920401125e-5
Latvia	France	0
Lithuania	France	0
Luxembourg	France	0.0010400476785902095
Malta	France	0
Netherlands	France	0
Norway	France	0
Poland	France	0
Portugal	France	5.0227026158235224e-5
Romania	France	0
Slovakia	France	4.305890458146745e-5
Slovenia	France	0
Spain	France	3.926624477268116e-5
Sweden	France	0
Switzerland	France	0.002217497889308202
United Kingdom	France	3.918626913129639e-5
Hungary	Germany	2.506450423884998e-4
Ireland	Germany	0
Italy	Germany	3.552830590886482e-5
Latvia	Germany	0
Lithuania	Germany	0
Luxembourg	Germany	3.819616575510569e-4
Malta	Germany	0
Netherlands	Germany	3.992151025103187e-4
Norway	Germany	0
Poland	Germany	5.822768755368766e-4
Portugal	Germany	0
Romania	Germany	2.219711033981758e-4
Slovakia	Germany	2.1477004264719419e-4
Slovenia	Germany	7.987475638199303e-6
Spain	Germany	1.5766322084938433e-5
Sweden	Germany	0
Switzerland	Germany	6.333541996538645e-4
United Kingdom	Germany	2.7763638887603535e-5
Ireland	Hungary	0
Italy	Hungary	0
Latvia	Hungary	0
Lithuania	Hungary	0
Luxembourg	Hungary	0
Malta	Hungary	0
Netherlands	Hungary	0
Norway	Hungary	0
Poland	Hungary	0
Portugal	Hungary	0
Romania	Hungary	0
Slovakia	Hungary	4.175559060963162e-4
Slovenia	Hungary	0
Spain	Hungary	0
Sweden	Hungary	0
Switzerland	Hungary	1.1124707976415619e-4
United Kingdom	Hungary	1.0252395332364016e-4
Italy	Ireland	0
Latvia	Ireland	0
Lithuania	Ireland	0
Luxembourg	Ireland	0
Malta	Ireland	0
Netherlands	Ireland	0
Norway	Ireland	0
Poland	Ireland	0
Portugal	Ireland	0
Romania	Ireland	0
Slovakia	Ireland	0
Slovenia	Ireland	0
Spain	Ireland	2.6796361054168844e-5
Sweden	Ireland	0
Switzerland	Ireland	0
United Kingdom	Ireland	1.7916152406736473e-4
Latvia	Italy	0
Lithuania	Italy	0
Luxembourg	Italy	0
Malta	Italy	0
Netherlands	Italy	0
Norway	Italy	0
Poland	Italy	0
Portugal	Italy	0
Romania	Italy	5.532175528026397e-4
Slovakia	Italy	4.823344989750392e-5
Slovenia	Italy	2.5722149342799085e-5
Spain	Italy	3.500493569593313e-5
Sweden	Italy	0
Switzerland	Italy	7.584075704922858e-4
United Kingdom	Italy	3.557284132141248e-5
Luxembourg	Latvia	0
Netherlands	Latvia	0
Norway	Latvia	1.8606381989022235e-4
Portugal	Latvia	0
Slovakia	Latvia	0
Spain	Latvia	0
Sweden	Latvia	1.1210762331838565e-4
Switzerland	Latvia	0
United Kingdom	Latvia	4.133768756975735e-5
Luxembourg	Lithuania	0
Netherlands	Lithuania	0
Norway	Lithuania	0
Portugal	Lithuania	0
Slovakia	Lithuania	0
Spain	Lithuania	0
Sweden	Lithuania	0
Switzerland	Lithuania	0
United Kingdom	Lithuania	0
Malta	Luxembourg	0
Netherlands	Luxembourg	0
Norway	Luxembourg	0
Poland	Luxembourg	0
Portugal	Luxembourg	0
Romania	Luxembourg	0
Slovakia	Luxembourg	0
Slovenia	Luxembourg	0
Spain	Luxembourg	0
Sweden	Luxembourg	0
Switzerland	Luxembourg	0
United Kingdom	Luxembourg	0
Netherlands	Malta	0
Norway	Malta	0
Portugal	Malta	0
Slovakia	Malta	0
Spain	Malta	0
Sweden	Malta	0
Switzerland	Malta	0
United Kingdom	Malta	0
Norway	Netherlands	0
Poland	Netherlands	2.083903150601076e-4
Portugal	Netherlands	0
Romania	Netherlands	0
Slovakia	Netherlands	1.483943728853802e-4
Slovenia	Netherlands	0
Spain	Netherlands	2.1367293084475594e-5
Sweden	Netherlands	0
Switzerland	Netherlands	0
United Kingdom	Netherlands	1.6745930738830465e-5
Poland	Norway	1.8617561437952746e-4
Portugal	Norway	0
Romania	Norway	0
Slovakia	Norway	0
Slovenia	Norway	0
Spain	Norway	0
Sweden	Norway	6.13685179502915e-4
Switzerland	Norway	0
United Kingdom	Norway	0
Portugal	Poland	0
Slovakia	Poland	0
Spain	Poland	0
Sweden	Poland	0
Switzerland	Poland	0
United Kingdom	Poland	6.891846256693706e-5
Romania	Portugal	0
Slovakia	Portugal	0
Slovenia	Portugal	0
Spain	Portugal	1.3279410877044728e-4
Sweden	Portugal	0
Switzerland	Portugal	0
United Kingdom	Portugal	0
Slovakia	Romania	0
Spain	Romania	1.0584362662602271e-4
Sweden	Romania	0
Switzerland	Romania	0
United Kingdom	Romania	7.480674923115286e-5
Slovenia	Slovakia	0
Spain	Slovakia	0
Sweden	Slovakia	8.661758336942399e-5
Switzerland	Slovakia	2.3053160588316657e-4
United Kingdom	Slovakia	6.861803281902484e-5
Spain	Slovenia	0
Sweden	Slovenia	0
Switzerland	Slovenia	0
United Kingdom	Slovenia	0
Sweden	Spain	0
Switzerland	Spain	0
United Kingdom	Spain	0.00014204457729386551
Switzerland	Sweden	0
United Kingdom	Sweden	1.837762340574117e-5
United Kingdom	Switzerland	0
