state1	state2	n_flying
Alabama	Alaska	0
Alabama	Arizona	5168
Alabama	Arkansas	685
Alabama	California	9134
Alabama	Colorado	67750
Alabama	Connecticut	548
Alabama	Florida	304002
Alabama	Georgia	1791343
Alabama	Idaho	137
Alabama	Illinois	310502
Alabama	Indiana	829
Alabama	Iowa	70
Alabama	Kansas	2
Alabama	Kentucky	431
Alabama	Louisiana	1842
Alabama	Maine	3
Alabama	Maryland	111624
Alabama	Massachusetts	329
Alabama	Michigan	89148
Alabama	Minnesota	3
Alabama	Mississippi	368
Alabama	Missouri	1573
Alabama	Nebraska	644
Alabama	Nevada	87366
Alabama	New Hampshire	581
Alabama	New Jersey	311
Alabama	New Mexico	51
Alabama	New York	49028
Alabama	North Carolina	553613
Alabama	North Dakota	1
Alabama	Ohio	1698
Alabama	Oklahoma	391
Alabama	Oregon	121
Alabama	Pennsylvania	40200
Alabama	Rhode Island	276
Alabama	South Carolina	488
Alabama	Tennessee	2539
Alabama	Texas	1089228
Alabama	Utah	234
Alabama	Vermont	25
Alabama	Virginia	177041
Alabama	Washington	444
Alabama	West Virginia	29
Alabama	Wisconsin	478
Alaska	Arizona	95844
Alaska	California	185712
Alaska	Colorado	113875
Alaska	Florida	518
Alaska	Georgia	53578
Alaska	Hawaii	114545
Alaska	Illinois	211243
Alaska	Indiana	126
Alaska	Kentucky	0
Alaska	Louisiana	404
Alaska	Maryland	99
Alaska	Massachusetts	1143
Alaska	Michigan	2584
Alaska	Minnesota	274456
Alaska	Mississippi	6
Alaska	Missouri	1
Alaska	Montana	0
Alaska	Nebraska	0
Alaska	Nevada	21231
Alaska	New Jersey	2200
Alaska	New York	257
Alaska	North Carolina	1040
Alaska	North Dakota	387
Alaska	Ohio	10
Alaska	Oregon	252965
Alaska	Pennsylvania	64
Alaska	South Carolina	0
Alaska	South Dakota	168
Alaska	Tennessee	92
Alaska	Texas	97719
Alaska	Utah	32177
Alaska	Virginia	207
Alaska	Washington	2727058
Alaska	Wisconsin	5
Arizona	Arkansas	76869
Arizona	California	10873628
Arizona	Colorado	2694605
Arizona	Connecticut	3685
Arizona	Florida	1144426
Arizona	Georgia	1387476
Arizona	Hawaii	860322
Arizona	Idaho	307438
Arizona	Illinois	2567870
Arizona	Indiana	387831
Arizona	Iowa	208983
Arizona	Kansas	43131
Arizona	Kentucky	141309
Arizona	Louisiana	113402
Arizona	Maine	412
Arizona	Maryland	503419
Arizona	Massachusetts	438926
Arizona	Michigan	844546
Arizona	Minnesota	1492337
Arizona	Mississippi	150
Arizona	Missouri	1090329
Arizona	Montana	137314
Arizona	Nebraska	368748
Arizona	Nevada	2239906
Arizona	New Hampshire	1804
Arizona	New Jersey	635634
Arizona	New Mexico	671488
Arizona	New York	851173
Arizona	North Carolina	1083483
Arizona	North Dakota	192745
Arizona	Ohio	447502
Arizona	Oklahoma	287990
Arizona	Oregon	994161
Arizona	Pennsylvania	1061434
Arizona	Rhode Island	5510
Arizona	South Carolina	2439
Arizona	South Dakota	106355
Arizona	Tennessee	214389
Arizona	Texas	5233696
Arizona	Utah	1470044
Arizona	Virginia	430820
Arizona	Washington	2000332
Arizona	West Virginia	0
Arizona	Wisconsin	430659
Arizona	Wyoming	636
Arkansas	California	62795
Arkansas	Colorado	107522
Arkansas	Connecticut	119
Arkansas	Florida	63315
Arkansas	Georgia	807024
Arkansas	Idaho	102
Arkansas	Illinois	466050
Arkansas	Indiana	138
Arkansas	Kansas	49
Arkansas	Kentucky	16217
Arkansas	Louisiana	1934
Arkansas	Maine	91
Arkansas	Maryland	52189
Arkansas	Massachusetts	13
Arkansas	Michigan	29827
Arkansas	Minnesota	45722
Arkansas	Mississippi	2187
Arkansas	Missouri	14190
Arkansas	Montana	1
Arkansas	Nebraska	172
Arkansas	Nevada	116460
Arkansas	New Hampshire	277
Arkansas	New Jersey	15974
Arkansas	New Mexico	442
Arkansas	New York	56357
Arkansas	North Carolina	234842
Arkansas	North Dakota	0
Arkansas	Ohio	457
Arkansas	Oklahoma	326
Arkansas	Oregon	410
Arkansas	Pennsylvania	35
Arkansas	Rhode Island	228
Arkansas	South Carolina	85
Arkansas	South Dakota	193
Arkansas	Tennessee	9957
Arkansas	Texas	1249064
Arkansas	Utah	458
Arkansas	Virginia	991
Arkansas	Washington	95
Arkansas	Wisconsin	4
California	Colorado	8141328
California	Connecticut	8706
California	Delaware	8
California	Florida	3944634
California	Georgia	4741638
California	Hawaii	7908266
California	Idaho	595521
California	Illinois	8851236
California	Indiana	315274
California	Iowa	19121
California	Kansas	16792
California	Kentucky	245537
California	Louisiana	685425
California	Maine	758
California	Maryland	856724
California	Massachusetts	2911703
California	Michigan	1628196
California	Minnesota	3115003
California	Mississippi	167
California	Missouri	1320117
California	Montana	78176
California	Nebraska	40737
California	Nevada	10696123
California	New Hampshire	2797
California	New Jersey	3414173
California	New Mexico	692092
California	New York	6820020
California	North Carolina	2043974
California	North Dakota	6869
California	Ohio	557737
California	Oklahoma	195263
California	Oregon	5923949
California	Pennsylvania	1727300
California	Rhode Island	7472
California	South Carolina	2971
California	South Dakota	6998
California	Tennessee	685928
California	Texas	16469749
California	Utah	4667060
California	Vermont	26
California	Virginia	3178567
California	Washington	10318777
California	Wisconsin	227895
California	Wyoming	40842
Colorado	Connecticut	106756
Colorado	Florida	2429293
Colorado	Georgia	1727937
Colorado	Hawaii	271725
Colorado	Idaho	493855
Colorado	Illinois	2809230
Colorado	Indiana	536901
Colorado	Iowa	406784
Colorado	Kansas	233173
Colorado	Kentucky	343328
Colorado	Louisiana	492363
Colorado	Maine	54
Colorado	Maryland	587660
Colorado	Massachusetts	753939
Colorado	Michigan	1010945
Colorado	Minnesota	1605699
Colorado	Missouri	1461548
Colorado	Montana	829511
Colorado	Nebraska	690844
Colorado	Nevada	2135629
Colorado	New Hampshire	4962
Colorado	New Jersey	840171
Colorado	New Mexico	487322
Colorado	New York	1228667
Colorado	North Carolina	920422
Colorado	North Dakota	506073
Colorado	Ohio	783614
Colorado	Oklahoma	721972
Colorado	Oregon	1187587
Colorado	Pennsylvania	925107
Colorado	Rhode Island	6221
Colorado	South Carolina	3569
Colorado	South Dakota	373677
Colorado	Tennessee	753857
Colorado	Texas	6418048
Colorado	Utah	1609563
Colorado	Vermont	0
Colorado	Virginia	1353902
Colorado	Washington	2076019
Colorado	West Virginia	0
Colorado	Wisconsin	609878
Colorado	Wyoming	444334
Connecticut	Florida	1301619
Connecticut	Georgia	669431
Connecticut	Hawaii	56
Connecticut	Idaho	20
Connecticut	Illinois	645850
Connecticut	Indiana	1324
Connecticut	Iowa	30
Connecticut	Kansas	138
Connecticut	Kentucky	33792
Connecticut	Louisiana	1696
Connecticut	Maine	62
Connecticut	Maryland	540629
Connecticut	Massachusetts	335
Connecticut	Michigan	337812
Connecticut	Minnesota	234894
Connecticut	Missouri	4535
Connecticut	Nebraska	86
Connecticut	Nevada	78284
Connecticut	New Hampshire	44
Connecticut	New Jersey	103553
Connecticut	New Mexico	630
Connecticut	New York	1275
Connecticut	North Carolina	505588
Connecticut	North Dakota	42
Connecticut	Ohio	18009
Connecticut	Oklahoma	680
Connecticut	Oregon	1206
Connecticut	Pennsylvania	360221
Connecticut	Rhode Island	7
Connecticut	South Carolina	703
Connecticut	Tennessee	6615
Connecticut	Texas	239645
Connecticut	Utah	869
Connecticut	Vermont	29
Connecticut	Virginia	515076
Connecticut	Washington	757
Connecticut	West Virginia	4
Connecticut	Wisconsin	205
Connecticut	Wyoming	14
Delaware	Florida	21853
Delaware	Kentucky	0
Delaware	Nevada	93
Delaware	New Jersey	0
Delaware	New York	15
Delaware	North Carolina	3079
Delaware	Pennsylvania	1
Delaware	Texas	0
Delaware	Vermont	16
Delaware	Virginia	3
Florida	Georgia	16718612
Florida	Hawaii	1101
Florida	Idaho	440
Florida	Illinois	7553549
Florida	Indiana	1305768
Florida	Iowa	217751
Florida	Kansas	3820
Florida	Kentucky	1453768
Florida	Louisiana	976715
Florida	Maine	105752
Florida	Maryland	3804684
Florida	Massachusetts	3592458
Florida	Michigan	3919671
Florida	Minnesota	2063040
Florida	Mississippi	75398
Florida	Missouri	1605933
Florida	Montana	309
Florida	Nebraska	79549
Florida	Nevada	1352741
Florida	New Hampshire	385875
Florida	New Jersey	6262244
Florida	New Mexico	40029
Florida	New York	15080407
Florida	North Carolina	7347168
Florida	North Dakota	94179
Florida	Ohio	2423129
Florida	Oklahoma	87854
Florida	Oregon	10861
Florida	Pennsylvania	5899651
Florida	Rhode Island	1005789
Florida	South Carolina	339876
Florida	South Dakota	52881
Florida	Tennessee	1971963
Florida	Texas	11184602
Florida	Utah	429727
Florida	Vermont	29543
Florida	Virginia	5402783
Florida	Washington	500410
Florida	West Virginia	149829
Florida	Wisconsin	700981
Florida	Wyoming	85
Georgia	Hawaii	222612
Georgia	Idaho	787
Georgia	Illinois	3309667
Georgia	Indiana	1411585
Georgia	Iowa	322975
Georgia	Kansas	230389
Georgia	Kentucky	1682834
Georgia	Louisiana	2337113
Georgia	Maine	187631
Georgia	Maryland	1512776
Georgia	Massachusetts	1486497
Georgia	Michigan	2056420
Georgia	Minnesota	1524092
Georgia	Mississippi	799639
Georgia	Missouri	2144596
Georgia	Montana	36252
Georgia	Nebraska	440331
Georgia	Nevada	1401536
Georgia	New Hampshire	88866
Georgia	New Jersey	1346769
Georgia	New Mexico	277789
Georgia	New York	4569926
Georgia	North Carolina	5147975
Georgia	North Dakota	5840
Georgia	Ohio	2389030
Georgia	Oklahoma	723382
Georgia	Oregon	428634
Georgia	Pennsylvania	3103719
Georgia	Rhode Island	265451
Georgia	South Carolina	2035545
Georgia	South Dakota	58602
Georgia	Tennessee	2774929
Georgia	Texas	6788438
Georgia	Utah	1003910
Georgia	Vermont	58866
Georgia	Virginia	4751002
Georgia	Washington	1030692
Georgia	West Virginia	157368
Georgia	Wisconsin	1225166
Georgia	Wyoming	28692
Hawaii	Idaho	0
Hawaii	Illinois	271677
Hawaii	Indiana	0
Hawaii	Iowa	0
Hawaii	Kentucky	460
Hawaii	Louisiana	19
Hawaii	Maine	285
Hawaii	Maryland	305
Hawaii	Massachusetts	1489
Hawaii	Michigan	39
Hawaii	Minnesota	52068
Hawaii	Mississippi	167
Hawaii	Missouri	197
Hawaii	Montana	2
Hawaii	Nebraska	1
Hawaii	Nevada	611265
Hawaii	New Jersey	144804
Hawaii	New York	170396
Hawaii	North Carolina	32
Hawaii	Ohio	147
Hawaii	Oklahoma	262
Hawaii	Oregon	566673
Hawaii	Pennsylvania	128
Hawaii	Rhode Island	2
Hawaii	Tennessee	1
Hawaii	Texas	659336
Hawaii	Utah	169997
Hawaii	Vermont	2
Hawaii	Virginia	71371
Hawaii	Washington	1580747
Hawaii	Wisconsin	3
Idaho	Illinois	96748
Idaho	Indiana	230
Idaho	Iowa	12
Idaho	Kentucky	73
Idaho	Louisiana	548
Idaho	Maryland	421
Idaho	Massachusetts	233
Idaho	Michigan	266
Idaho	Minnesota	184158
Idaho	Missouri	2315
Idaho	Montana	63
Idaho	Nebraska	551
Idaho	Nevada	222598
Idaho	New Jersey	243
Idaho	New Mexico	322
Idaho	New York	240
Idaho	North Carolina	142
Idaho	North Dakota	218
Idaho	Ohio	2506
Idaho	Oklahoma	468
Idaho	Oregon	282226
Idaho	Pennsylvania	108
Idaho	Rhode Island	4
Idaho	South Carolina	218
Idaho	South Dakota	0
Idaho	Tennessee	1208
Idaho	Texas	46564
Idaho	Utah	707000
Idaho	Virginia	570
Idaho	Washington	654571
Idaho	Wisconsin	37
Idaho	Wyoming	518
Illinois	Indiana	1021368
Illinois	Iowa	1104290
Illinois	Kansas	382425
Illinois	Kentucky	1314588
Illinois	Louisiana	729458
Illinois	Maine	132178
Illinois	Maryland	1151557
Illinois	Massachusetts	2192665
Illinois	Michigan	2814206
Illinois	Minnesota	3085401
Illinois	Mississippi	49818
Illinois	Missouri	2825198
Illinois	Montana	116298
Illinois	Nebraska	977138
Illinois	Nevada	2486010
Illinois	New Hampshire	313828
Illinois	New Jersey	1824855
Illinois	New Mexico	284004
Illinois	New York	6110181
Illinois	North Carolina	2362251
Illinois	North Dakota	201695
Illinois	Ohio	2699634
Illinois	Oklahoma	608417
Illinois	Oregon	901655
Illinois	Pennsylvania	3399524
Illinois	Rhode Island	339578
Illinois	South Carolina	629321
Illinois	South Dakota	229406
Illinois	Tennessee	1606537
Illinois	Texas	6318645
Illinois	Utah	857122
Illinois	Vermont	133123
Illinois	Virginia	3405815
Illinois	Washington	1596377
Illinois	West Virginia	42457
Illinois	Wisconsin	1358523
Illinois	Wyoming	76017
Indiana	Iowa	1529
Indiana	Kansas	245
Indiana	Kentucky	488
Indiana	Louisiana	11719
Indiana	Maine	226
Indiana	Maryland	191578
Indiana	Massachusetts	141697
Indiana	Michigan	605242
Indiana	Minnesota	401082
Indiana	Mississippi	4291
Indiana	Missouri	117443
Indiana	Montana	332
Indiana	Nebraska	1018
Indiana	Nevada	320757
Indiana	New Hampshire	258
Indiana	New Jersey	235968
Indiana	New Mexico	1227
Indiana	New York	223593
Indiana	North Carolina	565515
Indiana	North Dakota	253
Indiana	Ohio	1765
Indiana	Oklahoma	885
Indiana	Oregon	2248
Indiana	Pennsylvania	268971
Indiana	Rhode Island	1976
Indiana	South Carolina	16718
Indiana	South Dakota	245
Indiana	Tennessee	2632
Indiana	Texas	878429
Indiana	Utah	22280
Indiana	Vermont	19
Indiana	Virginia	447186
Indiana	Washington	2817
Indiana	West Virginia	319
Indiana	Wisconsin	1354
Iowa	Kansas	407
Iowa	Kentucky	579
Iowa	Louisiana	107
Iowa	Maryland	2741
Iowa	Massachusetts	52
Iowa	Michigan	199152
Iowa	Minnesota	303775
Iowa	Mississippi	482
Iowa	Missouri	15967
Iowa	Montana	10
Iowa	Nebraska	436
Iowa	Nevada	203526
Iowa	New Hampshire	30
Iowa	New Jersey	19309
Iowa	New Mexico	82
Iowa	New York	26350
Iowa	North Carolina	101317
Iowa	North Dakota	514
Iowa	Ohio	1213
Iowa	Oklahoma	1290
Iowa	Oregon	486
Iowa	Pennsylvania	1114
Iowa	Rhode Island	8
Iowa	South Carolina	164
Iowa	South Dakota	234
Iowa	Tennessee	762
Iowa	Texas	418548
Iowa	Utah	13684
Iowa	Vermont	0
Iowa	Virginia	38226
Iowa	Washington	1226
Iowa	West Virginia	574
Iowa	Wisconsin	451
Iowa	Wyoming	0
Kansas	Kentucky	455
Kansas	Louisiana	692
Kansas	Maine	3
Kansas	Maryland	846
Kansas	Massachusetts	45
Kansas	Michigan	645
Kansas	Minnesota	89707
Kansas	Mississippi	66
Kansas	Missouri	4169
Kansas	Montana	6
Kansas	Nebraska	2
Kansas	Nevada	123765
Kansas	New Hampshire	28
Kansas	New Jersey	763
Kansas	New Mexico	104
Kansas	New York	99
